Complete Meal,Ingredients,Quantities
"Red Rice with Carrot Curry, Murunga Curry, Carrot curry","Red rice, Carrot,  Coconut milk,  Spices, Drumstick,  chillies, curry leaves","40, 100.0, 65.0, 15.0, 50.0, 10.0, 5.0"
"Red Rice with Bathala Curry, Devilled Chicken, Kochchi Sambol","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Chicken,  Chili, Onion","40, 50.0, 50.0, 5.0, 13.0, 50.0, 15.0, 20.0"
"Red Rice with Malu Mirisata, Sweet Corn Curry, Jackfruit Mallum","Red rice, Fish,  Chili,  curry leaves, Sweet corn,  Coconut milk, Jackfruit,  Coconut","40, 50.0, 20.0, 3.0, 50.0, 25.0, 60.0, 30.0"
"Red Rice with Fish Patties, Egg Curry, Collard Greens Curry","Red rice, Fish,  Flour,  Oil, Egg,  Coconut milk,  Chillies, Collard greens,  Chillies","40, 40.0, 30.0, 30.0, 50.0, 50.0, 10.0, 50.0, 10.0"
"Red Rice with Jackfruit Curry, Devilled Fish, Jackfruit Mallum","Red rice, Jackfruit,  Coconut milk, curry leaves, Fish,  Chili, Onion","40, 75.0, 40.0, 10.0, 50.0, 5.0, 20.0"
"Red Rice with Fish Ambul Thiyal, Beef Curry, Devilled Beef","Red rice, Fish,  Goraka,  Spices, Beef,  Coconut milk,  Chillies,  Oil","40, 80.0, 10.0, 10.0, 140.0, 25.0, 15.0, 30.0"
"Red Rice with Thalapath Fish Curry, Sesame Seed Sambol, Tropical Salad","Red rice, Thalapath fish,  Coconut milk,  Spices, Sesame seed,  Chili,  Onion, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 30.0, 20.0, 30.0, 20.0, 30.0"
"Red Rice with Chicken Curry, Kohila Curry, Dry Fish Curry","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Kohila,  Chillies, Dry fish,  Chillies","40, 50.0, 70.0, 5.0, 3.0, 50.0, 10.0, 50.0, 10.0"
"Red Rice with Fish Ambul Thiyal, Pol Sambol, Sweet Corn Curry","Red rice, Fish,  Goraka,  Spices, Coconut,  Chili,  Onion, Lime, Garlic, Sweet corn,  Coconut milk","40, 80.0, 10.0, 10.0, 50.0, 15.0, 10.0, 3.0, 3.0, 50.0, 25.0"
"Red Rice with Bean Curry, Octopus Curry, Kappa Masala","Red rice, Beans,  Coconut milk,  Spices, Octopus,  Coconut milk,  Chillies, Cassava","40, 30.0, 65.0, 30.0, 50.0, 25.0, 10.0, 60.0"
"Red Rice with Pineapple Curry, Collard Greens Curry, Fish Curry","Red rice, Pineapple,  Coconut milk,  Spices, Collard greens,  Coconut milk,  Chillies, Fish, curry leaves","40, 50.0, 45.0, 13.0, 50.0, 25.0, 10.0, 50.0, 2.0"
"Red Rice with Gotu Kola Sambol, Chickpea Curry, Okra Curry","Red rice, Gotu Kola,  Coconut,  Onion, Chickpea,  Chillies, Okra,  Coconut milk,  Chillies","40, 10.0, 40.0, 15.0, 50.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Pineapple Curry, Jaffna Crab Curry, Coconut Sambol","Red rice, Pineapple,  Coconut milk,  Spices, Crab,  Coconut milk,  Chillies,  Chili,  Onion","40, 50.0, 75.0, 10.0, 50.0, 25.0, 10.0, 15.0, 20.0"
"Red Rice with Thalapath Fish Curry, Soya Meat Curry, Garlic curry","Red rice, Thalapath fish,  Coconut milk,  Spices, Soya meat,  Chillies, Garlic,  chillies,  curry leaves ","40, 50.0, 70.0, 10.0, 50.0, 10.0, 50.0, 10.0, 5.0"
"Red Rice with Ash Plantain Curry, Cashew Curry, Chickpea Salad","Red rice, Ash plantain,  Coconut milk,  Chillies, Cashew,  Coconut milk,  Chillies, Chickpeas,  Carrot,  Cabbage","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 60.0, 30.0, 30.0"
"Red Rice with Bitter Leaf Curry, Green Banana Curry, Shrimp Cutlets","Red rice, Bitter leaves,  Coconut milk,  Chillies, Green banana,  Coconut milk, Shrimp,  Potatoes,  flour","40, 50.0, 25.0, 20.0, 50.0, 25.0, 30.0, 50.0, 20.0"
"Red Rice with Chicken Curry, Mango Curry, Ala Badun","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Mango,  Coconut milk, Potato,  Oil, onion","40, 50.0, 20.0, 20.0, 3.0, 50.0, 25.0, 40.0, 10.0, 30.0"
"Red Rice with Soya Meat Curry, Shrimp Cutlets, Spicy Crab","Red rice, Soya meat,  Coconut milk,  Chillies, Shrimp,  Potatoes,  flour, Crab,  Oil,  chillies","40, 50.0, 25.0, 10.0, 30.0, 50.0, 20.0, 70.0, 20.0, 10.0"
"Red Rice with Sweet Corn Curry, Mint Sambol, Coconut Sambol","Red rice, Sweet corn,  Coconut milk,  Chillies, Mint,  Coconut,  pepper, Coconut,  Chili,  Onion","40, 50.0, 25.0, 10.0, 60.0, 30.0, 5.0, 50.0, 15.0, 20.0"
"Red Rice with Bitter Gourd Curry, Green Pea Curry, Pumpkin Leaves Curry","Red rice, Bitter gourd,  Coconut milk,  Spices, Green pea,  Coconut milk,  Chillies, Pumpkin leaves","40, 50.0, 25.0, 10.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Pol Sambol, Kohila Curry, Seeni Sambol","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Kohila,  Coconut milk,  Sugar","40, 50.0, 20.0, 60.0, 3.0, 3.0, 50.0, 25.0, 5.0"
"Red Rice with Elumas Curry, Drumstick Curry, Mango Chutney","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Drumstick, Mango,  Vinegar,  sugar","40, 50.0, 40.0, 10.0, 2.0, 50.0, 40.0, 10.0, 10.0"
"Red Rice with Devilled Chicken, Tomato Curry, Sesame Seed Sambol","Red rice, Chicken,  Chili,  Curry leaves, Onion, Tomato,  Coconut milk,  Chillies, Sesame seed,  Onion","40, 50.0, 30.0, 10.0, 20.0, 50.0, 25.0, 10.0, 50.0, 10.0"
"Red Rice with Murukku, Cucumber Sambol, Shrimp Cutlets","Red rice, flour,  Chillies, Cucumber,  Coconut,  pepper, Shrimp,  Potatoes,  flour","40, 50.0, 20.0, 60.0, 30.0, 5.0, 30.0, 50.0, 20.0"
"Red Rice with Snake Gourd Curry, Ala Badun, Coriander Sambol","Red rice, Snake gourd,  Coconut milk,  Spices, Potato,  Oil, onion,  pepper","40, 50.0, 55.0, 75.0, 40.0, 10.0, 30.0, 5.0"
"Red Rice with Beetroot Curry, Beetroot curry, Polos Mallum","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves,  chillies, Jackfruit,  oil","40, 100.0, 80.0, 5.0, 12.0, 10.0, 50.0, 5.0"
"Red Rice with Fish Patties, Prawn Curry, Kochchi Sambol","Red rice, Fish,  Flour,  Oil, Prawn,  Coconut milk,  Chillies,  Coconut","40, 40.0, 30.0, 30.0, 50.0, 25.0, 20.0, 30.0"
"Red Rice with Ala Badun, Ulundu Wade, Garlic curry","Red rice, Potato,  Oil, onion, chilli, Urad,  flour,  Oil, Garlic,  Coconut milk,  chillies,  curry leaves ","40, 40.0, 10.0, 30.0, 5.0, 30.0, 40.0, 20.0, 50.0, 20.0, 10.0, 5.0"
"Red Rice with Octopus Curry, potatoe cheese Balls, Mint Sambol","Red rice, Octopus,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper, Mint,  pepper","40, 50.0, 55.0, 10.0, 30.0, 60.0, 10.0, 60.0, 5.0"
"Red Rice with Devilled Fish, Ash Plantain Curry, Ulundu Wade","Red rice, Fish,  Chili,  Curry leaves, Onion, Ash plantain,  Coconut milk,  Chillies, Urad,  flour,  Oil","40, 50.0, 5.0, 5.0, 20.0, 50.0, 25.0, 10.0, 30.0, 40.0, 20.0"
"Red Rice with Green Pea Curry, Garlic curry, Polos Mallum","Red rice, Green pea,  Coconut milk,  Chillies, Garlic,  Coconut milk,  curry leaves , Jackfruit,  oil","40, 50.0, 25.0, 20.0, 50.0, 50.0, 5.0, 50.0, 5.0"
"Red Rice with Eggplant Curry, Ala Badun, Jaffna Crab Curry","Red rice, Eggplant,  Spices,  Coconut milk, Potato,  Oil, onion, Crab,  Coconut milk,  Chillies","40, 30.0, 7.0, 10.0, 40.0, 10.0, 30.0, 50.0, 25.0, 10.0"
"Red Rice with Sesame Seed Sambol, Fish Cutlets, Ulundu Wade","Red rice, Sesame seed,  Chili,  Onion, Fish,  Potatoes,  Chillies, Urad,  flour,  Oil","40, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0, 30.0, 40.0, 20.0"
"Red Rice with Pineapple Curry, Collard Greens Curry, Shrimp Cutlets","Red rice, Pineapple,  Coconut milk,  Spices, Collard greens,  Coconut milk,  Chillies, Shrimp,  Potatoes,  flour","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 30.0, 50.0, 20.0"
"Red Rice with Dhal Curry, Brinjal Moju, Dry Fish Curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Eggplant,  Vinegar,  Spices, Dry fish,  Coconut milk,  Chillies","40, 80.0, 10.0, 5.0, 5.0, 30.0, 40.0, 30.0, 50.0, 25.0, 10.0"
"Red Rice with Bathala Curry, Coriander Sambol, Mint Sambol","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves,  pepper, Mint,  Coconut","40, 50.0, 50.0, 65.0, 3.0, 10.0, 60.0, 30.0"
"Red Rice with Octopus Curry, Carrot Sambol, Polos Ambula","Red rice, Octopus,  Coconut milk,  Chillies, Carrot,  pepper, Jackfruit,  coconut milk,  curry leaves","40, 50.0, 35.0, 20.0, 50.0, 5.0, 80.0, 30.0, 10.0"
"Red Rice with Banana Blossom Curry, Murunga Curry, Kappa Masala","Red rice, Banana blossom,  Coconut milk,  Spices, Drumstick, Cassava","40, 20.0, 60.0, 15.0, 50.0, 60.0"
"Red Rice with Mint Sambol, Carrot curry, Dhal Vade","Red rice, Mint,  Coconut,  pepper, Carrot,  Coconut milk,  chillies, curry leaves, Lentils,  Oil","40, 60.0, 30.0, 5.0, 50.0, 20.0, 25.0, 5.0, 50.0, 30.0"
"Red Rice with Devilled Chicken, Jaffna Crab Curry, Coconut Sambol","Red rice, Chicken,  Chili,  Curry leaves, Onion, Crab,  Coconut milk, Coconut,  Chili","40, 50.0, 15.0, 10.0, 40.0, 50.0, 25.0, 50.0, 15.0"
"Red Rice with Green Gram Curry, Mustard Greens Curry, Jaffna Crab Curry","Red rice, Green gram,  Coconut milk,  Spices, Mustard greens,  Coconut milk,  Chillies, Crab,  Chillies","40, 50.0, 25.0, 10.0, 50.0, 50.0, 10.0, 50.0, 10.0"
"Red Rice with Papaya Curry, Coriander Sambol, Cauliflower Pickle","Red rice, Papaya,  Coconut milk,  Spices, Coriander,  pepper, Cauliflower,  Oil,  Garlic","40, 50.0, 55.0, 10.0, 60.0, 5.0, 100.0, 50.0, 20.0"
"Red Rice with Bitter Gourd Curry, Green Gram Curry, Fish Curry","Red rice, Bitter gourd,  Coconut milk,  Spices, Green gram, Fish, curry leaves","40, 50.0, 70.0, 23.0, 50.0, 50.0, 2.0"
"Red Rice with Mustard Greens Curry, Radish Sambol, Chickpea Salad","Red rice, Mustard greens,  Coconut milk,  Chillies, Radish,  Coconut,  pepper, Chickpeas,  Carrot,  Cabbage","40, 50.0, 25.0, 10.0, 60.0, 30.0, 5.0, 60.0, 30.0, 30.0"
"Red Rice with Gotu Kola Sambol, Green Banana Curry, Polos Ambula","Red rice, Gotu Kola,  Coconut,  Onion, Green banana,  Coconut milk,  Chillies, Jackfruit,  curry leaves","40, 10.0, 45.0, 15.0, 50.0, 25.0, 20.0, 80.0, 10.0"
"Red Rice with Gotu Kola Sambol, Beef Curry, Sprats Fry","Red rice, Gotu Kola,  Coconut,  Onion, Beef,  Coconut milk,  Chillies, Dried fish,  Oil","40, 10.0, 15.0, 15.0, 60.0, 25.0, 20.0, 40.0, 20.0"
"Red Rice with Green Gram Curry, Mango Curry, Polos Ambula","Red rice, Green gram,  Coconut milk,  Spices, Mango, Jackfruit,  chillies,  curry leaves","40, 50.0, 80.0, 20.0, 50.0, 80.0, 10.0, 10.0"
"Red Rice with Potato Curry, Capsicum Curry, Polos Mallum","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Capsicum,  Coconut milk,  Chillies, Jackfruit,  oil","40, 20.0, 60.0, 10.0, 5.0, 2.0, 50.0, 25.0, 10.0, 50.0, 5.0"
"Red Rice with Murunga Curry, Octopus Curry, Dry Fish Curry","Red rice, Drumstick,  Coconut milk,  Spices, Octopus,  Coconut milk,  Chillies, Dry fish,  Chillies","40, 50.0, 25.0, 10.0, 50.0, 50.0, 10.0, 50.0, 10.0"
"Red Rice with Cucumber Sambol, Pineapple Pickle, Kochchi Sambol","Red rice, Cucumber,  Coconut,  pepper, Pineapple, Green chili","40, 60.0, 60.0, 15.0, 50.0, 10.0"
"Red Rice with Fish Ambul Thiyal, Coconut Sambol, Polos Ambula","Red rice, Fish,  Goraka,  Spices, Coconut,  Chili,  Onion, Jackfruit,  chillies,  curry leaves","40, 80.0, 10.0, 10.0, 80.0, 15.0, 20.0, 80.0, 10.0, 10.0"
"Red Rice with Ginger Chicken, Tapioca Chips, Cucumber Sambol","Red rice, Chicken,  Ginger,  Chillies, Tapioca,  Oil,  Salt, Cucumber,  Coconut,  pepper","40, 50.0, 25.0, 10.0, 50.0, 20.0, 10.0, 60.0, 30.0, 5.0"
"Red Rice with Ala Badun, Dhal Vade, Sinhala Achcharu","Red rice, Potato,  Oil, onion, chilli, Lentils,  chillie, Carrot,  Vinegar","40, 40.0, 40.0, 65.0, 5.0, 50.0, 30.0, 30.0, 10.0"
"Red Rice with Snake Gourd Curry, Papaya Curry, Beetroot curry","Red rice, Snake gourd,  Coconut milk,  Spices, Papaya,  Spices, Beetroot,  chillies, curry leaves","40, 50.0, 80.0, 10.0, 50.0, 10.0, 70.0, 10.0, 10.0"
"Red Rice with Eggplant Curry, Tender Jackfruit Fry, Tropical Salad","Red rice, Eggplant,  Spices,  Coconut milk, Jackfruit,  Oil, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 30.0, 2.0, 10.0, 90.0, 20.0, 30.0, 20.0, 30.0, 20.0, 30.0"
"Red Rice with Pol Sambol, Papaya Curry, Carrot curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Papaya,  Spices, Carrot, curry leaves","40, 95.0, 15.0, 10.0, 3.0, 3.0, 50.0, 10.0, 50.0, 5.0"
"Red Rice with Thalapath Fish Curry, Cashew Curry, Green Banana Curry","Red rice, Thalapath fish,  Coconut milk,  Spices, Cashew,  Coconut milk,  Chillies, Green banana","40, 50.0, 25.0, 10.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Bitter Gourd Curry, Mint Sambol, Carrot curry","Red rice, Bitter gourd,  Coconut milk,  Spices, Mint,  Coconut,  pepper, Carrot,  chillies, curry leaves","40, 50.0, 45.0, 10.0, 60.0, 30.0, 5.0, 50.0, 10.0, 5.0"
"Red Rice with Devilled Fish, Kochchi Sambol, Devilled Beef","Red rice, Fish,  Chili,  Curry leaves, Onion,  Coconut, Beef,  Oil","40, 50.0, 20.0, 5.0, 20.0, 30.0, 80.0, 30.0"
"Red Rice with Bathala Curry, Pumpkin Leaves Curry, Kiri Hodi","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Pumpkin leaves,  Coconut milk,  Chillies","40, 50.0, 80.0, 5.0, 3.0, 50.0, 25.0, 10.0"
"Red Rice with Green Gram Curry, Pumpkin curry, Chickpea Salad","Red rice, Green gram,  Coconut milk,  Spices, Pumpkin,  chillies, curry leaves, Chickpeas,  Carrot,  Cabbage","40, 50.0, 45.0, 10.0, 60.0, 10.0, 5.0, 60.0, 30.0, 30.0"
"Red Rice with Bitter Leaf Curry, Egg Curry, Chickpea Salad","Red rice, Bitter leaves,  Coconut milk,  Chillies, Egg,  Coconut milk, Chickpeas,  Carrot,  Cabbage","40, 50.0, 25.0, 20.0, 50.0, 25.0, 60.0, 30.0, 30.0"
"Red Rice with Bitter Gourd Salad, Sesame Seed Sambol, Polos Mallum","Red rice, Bitter gourd,  Coconut, Sesame seed,  Chili,  Onion, Jackfruit,  oil","40, 50.0, 65.0, 50.0, 25.0, 10.0, 50.0, 5.0"
"Red Rice with Banana Blossom Curry, Ginger Chicken, Murukku","Red rice, Banana blossom,  Coconut milk,  Spices, Chicken,  Ginger,  Chillies, flour,  Chillies","40, 20.0, 10.0, 5.0, 50.0, 25.0, 10.0, 50.0, 20.0"
"Red Rice with Pumpkin Leaves Curry, Shrimp Cutlets, Spicy Crab","Red rice, Pumpkin leaves,  Coconut milk,  Chillies, Shrimp,  Potatoes,  flour, Crab,  Oil","40, 50.0, 25.0, 20.0, 30.0, 50.0, 20.0, 70.0, 20.0"
"Red Rice with Carrot Curry, Ala Badun, Polos Mallum","Red rice, Carrot,  Coconut milk,  Spices, Potato,  Oil, onion, Jackfruit","40, 50.0, 50.0, 10.0, 40.0, 15.0, 30.0, 50.0"
"Red Rice with Devilled Chicken, Carrot curry, Seeni Sambol","Red rice, Chicken,  Chili,  Curry leaves, Onion, Carrot,  Coconut milk,  Sugar","40, 50.0, 20.0, 15.0, 70.0, 50.0, 20.0, 5.0"
"Red Rice with Murunga Curry, Cucumber Sambol, Batu Moju","Red rice, Drumstick,  Coconut milk,  Spices, Cucumber,  pepper, Eggplant,  garlic","40, 50.0, 55.0, 10.0, 60.0, 5.0, 70.0, 15.0"
"Red Rice with Drumstick Curry, Collard Greens Curry, Mint Sambol","Red rice, Drumstick,  Coconut milk,  Spices, Collard greens,  Coconut milk,  Chillies, Mint,  pepper","40, 50.0, 20.0, 5.0, 50.0, 55.0, 10.0, 60.0, 5.0"
"Red Rice with Beetroot Curry, Polos Mallum, Batu Moju","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Jackfruit,  oil, Eggplant,  garlic","40, 30.0, 50.0, 5.0, 2.0, 50.0, 5.0, 70.0, 15.0"
"Red Rice with Papaya Curry, Fish Patties, Coriander Sambol","Red rice, Papaya,  Coconut milk,  Spices, Fish,  Flour,  Oil, Coriander,  pepper","40, 50.0, 55.0, 10.0, 40.0, 30.0, 30.0, 60.0, 5.0"
"Red Rice with Malu Mirisata, Potato Curry, Sesame Seed Sambol","Red rice, Fish,  Chili,  curry leaves, Potato,  Coconut milk,  Spices, Turmeric Powder, Sesame seed,  Onion","40, 50.0, 35.0, 8.0, 20.0, 30.0, 10.0, 2.0, 50.0, 10.0"
"Red Rice with Elumas Curry, Fenugreek Curry, Devilled Beef","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Fenugreek,  Coconut milk,  Chillies, Beef,  Oil","40, 50.0, 20.0, 5.0, 2.0, 50.0, 25.0, 15.0, 80.0, 30.0"
"Red Rice with Papaya Curry, Okra Curry, Devilled Beef","Red rice, Papaya,  Coconut milk,  Spices, Okra,  Coconut milk,  Chillies, Beef,  Oil","40, 50.0, 25.0, 10.0, 50.0, 25.0, 15.0, 80.0, 30.0"
"Red Rice with Bean Curry, Kohila Curry, Devilled Beef","Red rice, Beans,  Coconut milk,  Spices, Kohila,  Coconut milk,  Chillies, Beef,  Oil","40, 30.0, 40.0, 30.0, 50.0, 25.0, 15.0, 80.0, 30.0"
"Red Rice with Ulundu Wade, Carrot curry, Tender Jackfruit Fry","Red rice, Urad,  flour,  Oil, Carrot,  Coconut milk,  chillies, curry leaves, Jackfruit,  Oil","40, 30.0, 40.0, 20.0, 50.0, 20.0, 10.0, 5.0, 90.0, 20.0"
"Red Rice with Carrot Curry, Snake Gourd Curry, Tapioca Chips","Red rice, Carrot,  Coconut milk,  Spices, Snake gourd, Tapioca,  Oil,  Salt","40, 50.0, 45.0, 15.0, 50.0, 50.0, 20.0, 10.0"
"Red Rice with Eggplant Curry, Dry Fish Curry, Collard Greens Curry","Red rice, Eggplant,  Spices,  Coconut milk, Dry fish,  Coconut milk,  Chillies, Collard greens","40, 30.0, 2.0, 10.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Chicken Curry, Pineapple Curry, Beetroot curry","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Pineapple,  Coconut milk, Beetroot,  chillies","40, 50.0, 20.0, 15.0, 13.0, 50.0, 55.0, 70.0, 10.0"
"Red Rice with Prawn Curry, Coriander Sambol, Indian Fish Curry","Red rice, Prawn,  Coconut milk,  Chillies, Coriander,  Coconut,  pepper, Fish","40, 50.0, 25.0, 20.0, 60.0, 60.0, 5.0, 60.0"
"Red Rice with Bathala Curry, Drumstick Curry, Devilled Beef","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Drumstick, Beef,  Oil,  chillies","40, 50.0, 40.0, 10.0, 3.0, 50.0, 80.0, 30.0, 5.0"
"Red Rice with Soya Meat Curry, Kohila Curry, Pumpkin curry","Red rice, Soya meat,  Coconut milk,  Chillies, Kohila,  Coconut milk,  Chillies, Pumpkin, curry leaves","40, 50.0, 45.0, 10.0, 50.0, 25.0, 20.0, 60.0, 5.0"
"Red Rice with Pol Sambol, Beetroot Curry, Kohila Curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Beetroot,  Spices, curry leaves, Kohila,  Coconut milk","40, 70.0, 15.0, 10.0, 3.0, 3.0, 30.0, 5.0, 2.0, 50.0, 25.0"
"Red Rice with Fish Patties, Seer Fish Curry, Spicy Crab","Red rice, Fish,  Flour,  Oil, Seer fish,  Coconut milk,  Chillies, Crab,  Oil","40, 40.0, 30.0, 30.0, 50.0, 25.0, 20.0, 70.0, 20.0"
"Red Rice with Pol Sambol, Banana Blossom Curry, Simmered Fish Roe","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Banana blossom,  Spices, Fish,  Oil,  flour","40, 60.0, 5.0, 10.0, 3.0, 3.0, 20.0, 5.0, 70.0, 30.0, 20.0"
"Red Rice with Beetroot Curry, Radish Sambol, Fish Curry","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Radish,  pepper, Fish","40, 30.0, 70.0, 8.0, 4.0, 60.0, 5.0, 50.0"
"Red Rice with Egg Curry, Jaffna Crab Curry, Indian Fish Curry","Red rice, Egg,  Coconut milk,  Chillies, Crab, Fish,  Coconut milk","40, 50.0, 50.0, 30.0, 50.0, 60.0, 30.0"
"Red Rice with Bottle Gourd Curry, Fish Cutlets, Indian Fish Curry","Red rice, Bottle gourd,  Coconut milk,  Chillies, Fish,  Potatoes,  Chillies","40, 50.0, 55.0, 20.0, 90.0, 50.0, 10.0"
"Red Rice with Fish Ambul Thiyal, Gotu Kola Sambol, Cucumber Sambol","Red rice, Fish,  Goraka,  Spices, Gotu Kola,  Coconut,  Onion, Cucumber,  pepper","40, 80.0, 10.0, 10.0, 10.0, 45.0, 15.0, 60.0, 5.0"
"Red Rice with Dhal Curry, Thalapath Fish Curry, Papaya Curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Thalapath fish, Papaya,  Spices","40, 80.0, 60.0, 15.0, 5.0, 50.0, 50.0, 10.0"
"Red Rice with Leeks Curry, Sesame Seed Sambol, Coriander Sambol","Red rice, Leeks,  Coconut milk,  Chillies, Sesame seed,  Onion, Coriander,  Coconut,  pepper","40, 50.0, 25.0, 35.0, 50.0, 10.0, 60.0, 30.0, 5.0"
"Red Rice with Pineapple Curry, Chickpea Curry, Simmered Fish Roe","Red rice, Pineapple,  Coconut milk,  Spices, Chickpea,  Chillies, Fish,  Oil,  flour","40, 50.0, 50.0, 10.0, 50.0, 10.0, 70.0, 30.0, 20.0"
"Red Rice with Snake Gourd Curry, Vegetable Cutlets, Tropical Salad","Red rice, Snake gourd,  Coconut milk,  Spices, Carrot,  Potatoes,  Chillies, Mango,  Apple,  Pineapple,  Cucumber","40, 50.0, 25.0, 10.0, 60.0, 40.0, 10.0, 30.0, 20.0, 20.0, 30.0"
"Red Rice with Green Banana Curry, Pumpkin curry, Tropical Salad","Red rice, Green banana,  Coconut milk,  Chillies, Pumpkin,  Coconut milk, curry leaves, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 50.0, 25.0, 20.0, 60.0, 20.0, 5.0, 30.0, 20.0, 30.0, 20.0, 30.0"
"Red Rice with potatoe cheese Balls, Garlic curry, Kappa Masala","Red rice, cheese,  Potatoes,  pepper, Garlic,  Coconut milk,  chillies,  curry leaves , Cassava","40, 30.0, 60.0, 10.0, 50.0, 45.0, 10.0, 5.0, 60.0"
"Red Rice with Jackfruit Curry, Collard Greens Curry, Cauliflower Pickle","Red rice, Jackfruit,  Coconut milk, curry leaves, Collard greens,  Coconut milk,  Chillies, Cauliflower,  Oil,  Garlic","40, 15.0, 10.0, 5.0, 50.0, 25.0, 10.0, 100.0, 50.0, 20.0"
"Red Rice with Mustard Greens Curry, Jaffna Crab Curry, Indian Fish Curry","Red rice, Mustard greens,  Coconut milk,  Chillies, Crab,  Chillies, Fish,  Coconut milk","40, 50.0, 50.0, 10.0, 50.0, 20.0, 60.0, 30.0"
"Red Rice with Potato Curry, Pumpkin Leaves Curry, Carrot Sambol","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Pumpkin leaves,  Coconut milk,  Chillies, Carrot,  pepper","40, 20.0, 30.0, 10.0, 5.0, 2.0, 50.0, 35.0, 10.0, 50.0, 5.0"
"Red Rice with Devilled Chicken, Drumstick Curry, Papaya Curry","Red rice, Chicken,  Chili,  Curry leaves, Onion, Drumstick,  Coconut milk,  Spices, Papaya,  Spices","40, 50.0, 5.0, 10.0, 20.0, 50.0, 45.0, 5.0, 50.0, 10.0"
"Red Rice with Fish Ambul Thiyal, Eggplant Curry, Beetroot curry","Red rice, Fish,  Goraka,  Spices, Eggplant,  Coconut milk, Beetroot,  chillies, curry leaves","40, 80.0, 10.0, 12.0, 30.0, 40.0, 70.0, 10.0, 10.0"
"Red Rice with Jackfruit Curry, Beetroot Curry, Fenugreek Curry","Red rice, Jackfruit,  Coconut milk, curry leaves, Beetroot,  Spices, Fenugreek,  Coconut milk,  Chillies","40, 15.0, 30.0, 7.0, 30.0, 5.0, 50.0, 25.0, 10.0"
"Red Rice with Prawn Curry, Spicy Crab, Devilled Beef","Red rice, Prawn,  Coconut milk,  Chillies, Crab,  Oil, Beef","40, 50.0, 25.0, 25.0, 70.0, 50.0, 80.0"
"Red Rice with Fish Ambul Thiyal, Prawn Curry, Dhal Vade","Red rice, Fish,  Goraka,  Spices, Prawn,  Coconut milk,  Chillies, Lentils,  Oil","40, 80.0, 10.0, 10.0, 50.0, 25.0, 25.0, 50.0, 30.0"
"Red Rice with Devilled Fish, Brinjal Moju, Fish Cutlets","Red rice, Fish,  Chili,  Curry leaves, Onion, Eggplant,  Vinegar,  Spices, Fish,  Potatoes,  Chillies","40, 50.0, 5.0, 5.0, 20.0, 30.0, 40.0, 30.0, 30.0, 50.0, 10.0"
"Red Rice with Bathala Curry, Bitter Gourd Curry, Egg Curry","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Bitter gourd, Egg,  Coconut milk,  Chillies","40, 50.0, 45.0, 15.0, 3.0, 50.0, 50.0, 25.0, 10.0"
"Red Rice with Elumas Curry, potatoe cheese Balls, Vegetable Balls","Red rice, Goat,  Coconut milk,  Spices, curry leaves, cheese,  Potatoes,  pepper, Carrot,  leeks,  Jackfruit","40, 50.0, 20.0, 5.0, 2.0, 30.0, 60.0, 10.0, 30.0, 50.0, 10.0"
"Red Rice with Chicken Curry, Bitter Leaf Curry, Beef Curry","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Bitter leaves,  Coconut milk,  Chillies, Beef","40, 50.0, 45.0, 5.0, 3.0, 50.0, 25.0, 20.0, 60.0"
