Breakfast,Lunch,Dinner,Combined Ingredients,Total Energy (Kcal),Total Protein (g),Total Fat (g),Total Carbohydrates (g),Total Magnesium (mg),Total Sodium (mg),Total Potassium (mg),Total Saturated Fatty Acids (mg),Total Monounsaturated Fatty Acids (mg),Total Polyunsaturated Fatty Acids (mg),Total Free Sugar (g),Total Starch (g)
"Red Rice with Chicken Curry, Beetroot Curry, Carrot Curry, Bitter Leaf Curry, Seer Fish Curry","Red Rice with Banana Blossom Curry, Carrot Curry, Mustard Greens Curry, Dhal Vade, Kappa Masala","Red Rice with Devilled Chicken, Bitter Gourd Salad, Pumpkin Leaves Curry"," Chili, Bitter leaves, Mustard greens,  Coconut, Carrot, Banana blossom, Bitter gourd, curry leaves,  Chillies, Lentils, Beetroot, Cassava,  chillie,  Onion, Pumpkin leaves, Onion, Seer fish, Chicken,  Oil,  Coconut milk,  Spices,  Curry leaves, Red rice",1902.0,80.192,145.02800000000002,175.476,775.684,208.912,4731.6,55325.084,15029.212,5963.628000000001,17.208,125.11599999999999
"Red Rice with Jackfruit Curry, Beetroot Curry, Octopus Curry, Prawn Curry, Vegetable Balls","Red Rice with Seer Fish Curry, Fish Curry, Polos Mallum, Batu Moju","Red Rice with Fish Ambul Thiyal, Potato Curry, Mustard Greens Curry","Potato,  pepper, Mustard greens, Turmeric Powder,  garlic,  Goraka, Octopus, Carrot,  leeks, curry leaves,  Chillies, Eggplant,  Potatoes, Prawn, Fish,  oil, Beetroot, Seer fish, Jackfruit,  Jackfruit,  Coconut milk,  Spices, Red rice",1902.8000000000002,82.82400000000001,148.1,160.816,1108.8,430.272,5655.6,56228.36,18788.82,8069.956,24.532,117.988
String Hoppers with Egg Curry,"Red Rice with Eggplant Curry, Chicken Curry, Pumpkin Leaves Curry, Beetroot curry","Red Rice with Chicken Curry, Malu Mirisata, Devilled Chicken, Cauliflower Pickle","Fish,  Garlic, Cauliflower, Chicken,  Oil,  Chili,  Coconut milk,  Spices, Egg, Red rice,  Chillies, Beetroot, curry leaves, Eggplant,  curry leaves, Pumpkin leaves, Onion, Rice flour",1904.5,84.845,128.756,169.404,718.672,300.7705,4084.732,40523.848,17446.647,6618.3279999999995,13.978000000000002,141.59949999999998
"Red Rice with Kohila Curry, Fenugreek Curry, Polos Mallum","Red Rice with Bean Curry, Thalapath Fish Curry, Chickpea Curry",Pol Roti with Seeni Sambol," oil, Kohila, Fenugreek, Jackfruit, Chickpea, Coconut,  chillii,  Sugar,  Coconut milk, Thalapath fish,  Spices,  Chillies, Red rice, Beans, Onion,  Coconut,  Flour",1908.1,47.12,163.834,158.842,459.88,91.84799999999998,2731.3,49293.104999999996,9386.062,4657.909,47.034,90.61800000000001
"Red Rice with Capsicum Curry, Collard Greens Curry, Fish Cutlets, Kochchi Sambol, Tropical Salad","Red Rice with Beetroot Curry, Papaya Curry, Pumpkin Leaves Curry, Cucumber Sambol, Pineapple Pickle","Red Rice with Brinjal Moju, Dhal Vade, Sprats Fry","Cucumber,  pepper,  Pineapple, Dried fish,  Apple,  Coconut, Mango,  Chillies, curry leaves, Eggplant,  Potatoes, Collard greens, Lentils, Fish, Capsicum, Beetroot, Pumpkin leaves,  chillie,  Vinegar,  Oil,  Carrot,  Cucumber,  Coconut milk,  Spices, Red rice, Pineapple, Papaya",1911.6,58.775999999999996,145.732,161.61599999999999,497.26800000000003,299.988,3456.3999999999996,37288.632,8730.472,4260.280000000001,25.544,117.936
Kurakkan Roti with Thalapath Fish Curry,"Red Rice with Murunga Curry, Seer Fish Curry, Capsicum Curry, Kappa Masala","Red Rice with Dhal Curry, Carrot Curry, Radish Sambol, Seeni Sambol"," chillii,  pepper, Drumstick, Radish,  Coconut, Termeric powder, Carrot, Dhal,  Chillies, Thalapath fish, Capsicum, Cassava, Onion, Seer fish,  Sugar, Millet,  Coconut milk,  Spices, Red rice,  Flour",1912.8000000000002,75.568,107.156,265.476,955.788,306.996,6174.0,55950.543999999994,19095.276,7364.008,56.424,172.364
"Red Rice with Bitter Gourd Curry, Thalapath Fish Curry, Mustard Greens Curry, Fish Curry","Red Rice with Elumas Curry, Cabbage Mallung, Bean Curry, potatoe cheese Balls, Indian Fish Curry","Red Rice with Eggplant Curry, Potato Curry, Chickpea Curry","Potato,  chillies,  pepper, Mustard greens, Turmeric Powder, Beans, Cabbage, Bitter gourd,  Chillies, curry leaves, Eggplant,  Potatoes, Fish, Chickpea, Goat, Thalapath fish, cheese,  Coconut milk,  Spices, Red rice",1916.8,80.08,156.49200000000002,151.876,897.54,711.864,4549.6,55249.716,18631.096,6249.688,15.091999999999999,108.37200000000001
"Red Rice with Dry Fish Curry, Vegetable Cutlets, Fish Curry",Egg Fried Rice with Tapioca Chips,"Red Rice with Eggplant Curry, Chicken Curry, Snake Gourd Curry","Rice, Dry fish, Carrot,  onion,  Chillies, curry leaves, leeks, Eggplant,  Potatoes, Snake gourd, Fish, Tapioca,  Egg, carrort, Chicken,  Oil,  Coconut milk,  Spices, Red rice,  Salt",1920.8000000000002,96.128,106.192,206.572,1219.262,453.178,6074.6,42713.862,28830.933999999997,9295.814,19.176,172.584
"Red Rice with Beetroot Curry, Polos Mallum, Batu Moju","Red Rice with Collard Greens Curry, Gotu Kola Sambol, Carrot curry, Chickpea Salad, Indian Fish Curry","Red Rice with Brinjal Moju, Tomato Curry, Kochchi Sambol"," chillies, Chickpeas,  Coconut,  garlic, Carrot, curry leaves,  Chillies, Eggplant, Collard greens, Gotu Kola,  oil, Fish, Beetroot, Green chili,  Onion,  Vinegar, Jackfruit,  Coconut milk,  Cabbage,  Spices, Red rice, Tomato",1922.0,51.303999999999995,170.288,153.552,582.028,181.5,3626.8,54001.668,9842.524,4275.584,23.855999999999998,106.62400000000001
"Red Rice with Papaya Curry, Octopus Curry, Murukku","Red Rice with Fish Ambul Thiyal, Lotus Root Curry, Fish Curry, Ginger Chicken",Pol Roti with Chicken Curry,"Fish, Octopus, Chicken,  Flour, Coconut,  Coconut milk,  Spices,  Chillies, Red rice, curry leaves, flour,  Ginger, Lotus root, Papaya,  Goraka",1922.1,83.089,146.647,160.713,892.7719999999999,312.044,4733.5,51459.31,17749.584000000003,7099.539999999999,15.305,128.85999999999999
"Red Rice with Beetroot Curry, Brinjal Moju, Leeks Curry, Bitter Leaf Curry, Vegetable Cutlets","Red Rice with Bathala Curry, Bitter Gourd Curry, Tapioca Chips, Indian Fish Curry",Roast Bread with Bathala Curry," chillies, Bitter leaves, Sweet potato,  sugar, Carrot, Bitter gourd, curry leaves,  Chillies, Eggplant,  Potatoes, Fish, Tapioca, Leeks, Beetroot,  Vinegar,  Oil,  Coconut milk,  Spices, Red rice, Flour,  Salt",1925.7,58.583,161.01,171.261,995.315,227.60000000000002,5256.6,59173.793999999994,19589.993,6514.887000000001,22.46,135.918
Kurakkan Roti with Fish Curry,"Red Rice with Chicken Curry, Carrot Curry, Pineapple Curry, Spinach Curry, Jaffna Crab Curry",Roast Bread with Cuttlefish Curry,"Fish, Carrot, Cuttlefish, Chicken,  Oil, Millet,  Coconut milk,  Spices, Crab, curry leaves, Red rice, Spinach,  Chillies, Pineapple,  sugar, Flour,  Flour",1927.8,68.148,162.356,162.112,851.0310000000001,314.76800000000003,4482.8,58369.622,19652.402,5740.927000000001,18.804000000000002,129.458
"Red Rice with Thalapath Fish Curry, Carrot curry, Pineapple Pickle","Red Rice with Papaya Curry, Soya Meat Curry, Murukku","Red Rice with Green Gram Curry, Ash Plantain Curry, Pumpkin Leaves Curry","Carrot,  chillies,  pepper,  Coconut milk, Thalapath fish, Ash plantain,  Spices, Green gram, curry leaves, Red rice,  Chillies, Soya meat, flour, Pumpkin leaves, Pineapple, Papaya",1932.8000000000002,46.16,181.512,135.796,735.2,162.112,3910.3999999999996,54126.46,17350.824,6423.567999999999,17.728,104.072
"Red Rice with Devilled Chicken, Sesame Seed Sambol, Coconut Sambol","Red Rice with Chicken Curry, Carrot Curry, Bitter Gourd Curry, Pineapple Curry","Red Rice with Gotu Kola Sambol, Bitter Gourd Salad, Dhal Vade, Polos Mallum, Tropical Salad"," Chili,  Pineapple,  Apple,  Coconut, Carrot, Mango, Coconut, Bitter gourd, Lentils, Gotu Kola,  chillie,  Onion, Onion, Jackfruit, Chicken,  Oil,  Carrot,  Cucumber,  Coconut milk,  Spices,  Curry leaves, Red rice, Sesame seed, Pineapple",1933.1999999999998,69.16,155.444,175.12800000000001,580.2280000000001,176.904,3978.4,54043.096,10349.831999999999,4387.46,30.7,118.53999999999999
"Red Rice with Papaya Curry, Soya Meat Curry, Murukku","Red Rice with Snake Gourd Curry, Cashew Curry, Tapioca Chips, Jaffna Crab Curry, Tropical Salad","Red Rice with Bathala Curry, Spinach Curry, Fish Cutlets"," Pineapple, Sweet potato,  Apple, Mango,  Chillies, curry leaves, flour,  Potatoes, Snake gourd, Fish, Tapioca, Crab, Spinach, Cashew,  Oil,  Carrot,  Cucumber,  Coconut milk,  Spices, Red rice, Soya meat,  Salt, Papaya",1933.6,59.06,160.272,169.876,885.168,359.78,4723.2,57528.724,28730.748,9387.024,26.124,127.63999999999999
"Red Rice with Fenugreek Curry, Sesame Seed Sambol, Beetroot curry","Red Rice with Thalapath Fish Curry, Carrot curry, Pineapple Pickle","Red Rice with Cabbage Mallung, Carrot Curry, Egg Curry, Maalu Badun","Fenugreek,  chillies,  pepper, Cabbage,  Coconut, Carrot,  Chillies, curry leaves, Fish, Thalapath fish, Beetroot, Egg,  Onion,  Oil,  Coconut milk,  Spices, Red rice, Sesame seed, Pineapple",1934.4,76.924,163.644,144.79199999999997,764.148,273.572,4172.8,56111.208,16433.672,7355.956,19.668,102.936
"Red Rice with Parippu, Pumpkin Leaves Curry, Beef Curry, Kappa Masala","Red Rice with Cabbage Mallung, Pineapple Curry, Polos Mallum, Sinhala Achcharu, Ginger Chicken","Red Rice with Devilled Chicken, Ginger Chicken, Gotu Kola Sambol"," Chili, Cabbage,  Ginger,  Coconut, Termeric powder, Carrot, Dhal,  onion,  Chillies,  green chillies, Gotu Kola,  oil, Beef, Cassava, Pumpkin leaves, Onion,  Vinegar, Jackfruit, Chicken,  Coconut milk,  Spices,  Curry leaves, Red rice, Pineapple",1937.6000000000001,76.856,140.96,195.44799999999998,707.324,184.748,5156.8,55926.284,11829.456000000002,5554.28,23.084,136.372
Kurakkan Roti with Chicken Curry,"Red Rice with Eggplant Curry, Potato Curry, Banana Blossom Curry, Soya Meat Curry, Tapioca Chips",Vegetable Kottu with Ginger Chicken,"Potato, Turmeric Powder,  Ginger,  leeks, Banana blossom, curry leaves,  Chillies, Eggplant, Tapioca,  Flour, Chicken,  Oil,  Carrot, Millet,  Coconut milk,  Spices, Red rice,  Chilli, Soya meat, Flour,  Salt",1939.4,71.525,125.54599999999999,197.131,846.63,161.17499999999998,4654.799999999999,37282.818,16570.567,6420.356,13.329999999999998,165.297
"Red Rice with Pumpkin Leaves Curry, Cucumber Sambol, Beetroot curry, Sprats Fry","Red Rice with Potato Curry, Bitter Gourd Salad, Capsicum Curry, Vegetable Cutlets, Indian Fish Curry","Red Rice with Thalapath Fish Curry, Bitter Leaf Curry, Mint Sambol, Kiri Hodi, Ginger Chicken","Potato, Cucumber,  pepper, Bitter leaves, Turmeric Powder, Dried fish,  Ginger,  Coconut, Carrot, Bitter gourd,  Chillies, curry leaves,  Potatoes, Fish, Thalapath fish, Capsicum, Beetroot, Mint, Pumpkin leaves,  Onion, Chicken,  Oil,  Coconut milk,  Spices, Red rice",1939.6000000000001,88.392,144.264,177.41199999999998,827.6199999999999,370.044,5275.200000000001,55968.916,15252.583999999999,6429.468,15.459999999999999,121.624
"Red Rice with Dhal Curry, Beef Curry, Indian Fish Curry","Red Rice with Ala Badun, Fish Patties, Cauliflower Pickle","Red Rice with Chicken Curry, Carrot Curry, Pineapple Curry, Spinach Curry, Jaffna Crab Curry","Potato,  Garlic, Cauliflower, chilli, Termeric powder, Carrot, Dhal, onion,  Chillies, Fish,  Flour, Beef, Crab, Spinach, Chicken,  Oil,  Coconut milk,  Spices, Red rice, Pineapple",1948.3999999999999,87.61600000000001,126.23599999999999,181.708,819.4920000000001,351.27200000000005,5614.0,39674.852,18831.424,6467.468000000001,17.54,145.108
String Hoppers with Coconut Sambol,"Red Rice with Potato Curry, Fish Patties, Coconut Sambol, Batu Moju","Red Rice with Chicken Curry, Pol Sambol, Cuttlefish Curry, Ash Plantain Curry, Cucumber Sambol","Potato,  Chili, Cucumber,  pepper, Turmeric Powder, Garlic,  garlic, Cuttlefish, Coconut, curry leaves,  Chillies, Eggplant, Fish, Ash plantain,  Onion, Lime, Chicken,  Oil,  Coconut milk,  Spices, Red rice,  Flour, Rice flour",1953.35,69.471,167.1925,189.82150000000001,782.527,149.8485,4705.032,73664.6565,15870.152000000002,5435.5895,20.305500000000002,150.6945
"Red Rice with Eggplant Curry, Bitter Leaf Curry, Fish Cutlets, Indian Fish Curry","Red Rice with Chicken Curry, Pol Sambol, Cuttlefish Curry, Ash Plantain Curry, Cucumber Sambol","Red Rice with Eggplant Curry, Chicken Curry, Ginger Chicken, Coconut Sambol, Seeni Sambol"," Chili, Cucumber,  pepper, Bitter leaves, Garlic,  Ginger, Cuttlefish,  Chillies, Eggplant,  Potatoes, Fish, Ash plantain,  Onion, Lime, Chicken,  Sugar,  Coconut milk,  Spices, Red rice",1958.8,69.24000000000001,150.15200000000002,187.808,811.644,177.44,4893.6,55389.732,19138.288,6122.2919999999995,57.428,110.48000000000002
"Red Rice with Devilled Fish, Jaffna Crab Curry, Devilled Beef","Red Rice with Bottle Gourd Curry, Ulundu Wade, Cauliflower Pickle","Red Rice with Chicken Curry, Carrot Curry, Tropical Salad"," Garlic, Cauliflower,  Chili, Bottle gourd,  Pineapple,  Apple, Carrot, Mango,  Chillies,  flour, Fish, Beef, Crab, Onion, Chicken,  Oil,  Cucumber,  Coconut milk,  Spices,  Curry leaves, Red rice, Urad",1960.4,63.135999999999996,149.492,160.44,468.01599999999996,257.688,3026.0,37590.748,9746.708,3832.32,19.576,105.436
"Red Rice with Bathala Curry, Spinach Curry, Fish Cutlets",Seafood Fried Rice with Vegetable Balls,"Red Rice with Beetroot Curry, Malu Mirisata, Tropical Salad, Ginger Chicken"," Chili, Rice,  pepper,  Oninon,  Pineapple, Sweet potato,  Apple,  Ginger, Carrot, Mango,  leeks, curry leaves,  Chillies,  Potatoes, Fish, Spices, Beetroot, Spinach, shrimp, Chicken,  Jackfruit,  Carrot,  Cucumber,  Coconut milk,  Spices, Red rice, crab",1961.2,120.964,95.03,215.22400000000002,1355.598,673.754,6823.8,39315.11,24016.408,8267.874,33.24,167.32
Roast Bread with Chicken Curry,"Red Rice with Beetroot Curry, Malu Mirisata, Tropical Salad, Ginger Chicken","Red Rice with Prawn Curry, Kappa Masala, Indian Fish Curry"," Chili,  Pineapple,  sugar,  Apple,  Ginger,  Coconut, Mango, curry leaves,  Chillies, Prawn, Fish, Beetroot, Cassava, Chicken,  Oil,  Carrot,  Cucumber,  Coconut milk,  Spices, Red rice, Flour",1975.9,82.39500000000001,161.921,162.231,717.164,302.776,4294.9,59275.53,16258.719,5527.719,24.571,108.44800000000001
"Red Rice with Gotu Kola Sambol, Malu Mirisata, Green Banana Curry, Kochchi Sambol, Beetroot curry","Red Rice with Elumas Curry, Bean Curry, Fish Cutlets, Mango Chutney","Chicken Biryani with Devilled Chicken, Devilled Fish, Ginger Chicken, Ginger Chicken"," Chili, Rice, Beans,  sugar,  Ginger,  Coconut, Mango, Green banana,  onion, curry leaves,  Chillies,  Chicken,  Potatoes, Gotu Kola, Fish, Goat, Beetroot,  curry leaves,  Onion,  Vinegar,  Coconut milk,  Spices, Red rice",1980.2,99.98,94.2,244.408,1280.29,282.652,6390.4,39661.238000000005,20384.796,7949.558,59.156,165.05
"Red Rice with Chicken Curry, Seeni Sambol, Kiri Hodi, Maalu Badun","Red Rice with Beetroot Curry, Bitter Gourd Salad, Mango Chutney","Red Rice with Drumstick Curry, Carrot Sambol, Gotu Kola Sambol, Cucumber Sambol"," chillii, Cucumber,  pepper, Drumstick,  sugar,  Coconut, Mango, Carrot, Bitter gourd, curry leaves, Gotu Kola, Fish, Beetroot,  Onion, Onion,  Vinegar, Chicken,  Oil,  Sugar,  Coconut milk,  Spices, Red rice",1980.8000000000002,59.668,145.116,214.088,818.644,203.71999999999997,4422.4,54533.776,18555.260000000002,5680.88,99.096,102.364
"Red Rice with Collard Greens Curry, Ginger Chicken, Indian Fish Curry",Egg Biryani with Ginger Chicken,"Red Rice with Pineapple Curry, Carrot Sambol, Cucumber Sambol, Sinhala Achcharu","Cucumber, Rice,  pepper,  Ginger,  Coconut, Carrot,  onion,  Chillies, curry leaves,  green chillies, Collard greens, Fish,  Egg,  Vinegar, Chicken,  Coconut milk,  Spices, Red rice, Pineapple",1982.6,107.75999999999999,109.95999999999998,202.136,1131.446,388.04,6063.0,43385.682,25735.668,9325.654,18.5,157.862
"Red Rice with Kohila Curry, Fenugreek Curry, Polos Mallum","Red Rice with Gotu Kola Sambol, Jaffna Crab Curry, Cauliflower Pickle, Tropical Salad","Red Rice with Banana Blossom Curry, Cabbage Mallung, Pineapple Curry, Tapioca Chips","Kohila, Fenugreek, Cauliflower,  Garlic,  Pineapple, Cabbage,  Apple,  Coconut, Mango, Banana blossom,  Chillies, Gotu Kola,  oil, Tapioca, Crab,  Onion, Jackfruit,  Oil,  Carrot,  Cucumber,  Coconut milk,  Spices, Red rice,  Salt, Pineapple",1983.6,48.967999999999996,170.036,168.128,557.424,282.824,3930.0,53714.488,9828.628,5139.316,31.880000000000003,119.96
"Red Rice with Seer Fish Curry, Fish Curry, Polos Mallum, Batu Moju","Red Rice with Bathala Curry, Bitter Gourd Curry, Tapioca Chips, Indian Fish Curry",Kurakkan Roti with Fish Curry," chillies, Sweet potato,  garlic, Bitter gourd,  Chillies, curry leaves, Eggplant, Fish,  oil, Tapioca, Seer fish, Jackfruit,  Oil,  Coconut milk, Millet,  Spices, Red rice,  Salt,  Flour",1983.6,86.03999999999999,145.44,183.728,1000.124,216.192,5254.4,55680.623999999996,18850.528000000002,6711.728,22.964,146.93200000000002
"Red Rice with Jackfruit Curry, Cabbage Mallung, Bitter Gourd Salad, Murunga Curry, Bottle Gourd Curry","Red Rice with Mango Curry, Mint Sambol, Carrot curry, Spicy Crab",Coconut Roti with Thalapath Fish Curry," chillies,  pepper, Drumstick, Bottle gourd, Cabbage,  Coconut, Mango, Carrot, Coconut, Bitter gourd, curry leaves,  Chillies, Thalapath fish, Crab, Mint,  Onion, Jackfruit,  Oil,  Coconut milk,  Spices, Red rice,  Flour",1983.8,74.0865,156.816,186.20749999999998,968.9200000000001,304.7815,5422.006,61571.89,20755.818,6942.298000000001,19.898,128.4225
"Red Rice with Banana Blossom Curry, Cabbage Mallung, Pineapple Curry, Tapioca Chips","Chicken Fried Rice with Wambatu Moju, Devilled Fish, Ginger Chicken",Fish Kottu with Devilled Chicken," Chili, Rice, Cabbage,  Ginger,  Fish,  leeks, Banana blossom,  onion, curry leaves, leeks,  Chicken, Eggplant, Fish, Tapioca, Spices, Pineapple, Onion,  Vinegar, Chicken,  Oil,  Carrot,  Coconut milk,  Spices,  Curry leaves, Red rice,  Chilli, tomato sause, Flour,  carrot,  Salt",1983.9,104.132,74.25899999999999,241.862,1274.756,278.05899999999997,6996.1,22273.445000000003,19057.668999999998,7994.887000000001,22.181,195.274
"Red Rice with Sweet Corn Curry, Prawn Curry, Sprats Fry, Jackfruit Mallum","Red Rice with Bathala Curry, Sesame Seed Sambol, Ulundu Wade, Vegetable Balls, Coconut Sambol",Chicken Kottu with Ginger Chicken," Chili,  pepper, Sweet potato, Dried fish,  Ginger,  Coconut, Carrot,  leeks,  Chillies, curry leaves,  Chicken,  Potatoes, Prawn,  flour, Sweet corn,  Onion, Jackfruit, Chicken,  Oil,  Jackfruit,  Carrot,  Coconut milk,  Spices, Red rice,  Chilli, Sesame seed, Urad, Flour",1989.0000000000002,80.985,131.29399999999998,193.87099999999998,542.426,214.927,3506.0,37073.558,9002.367,4558.024,14.318,129.569
"Red Rice with Potato Curry, Banana Blossom Curry, Pumpkin Leaves Curry, Ginger Chicken, Jackfruit Mallum","Red Rice with Green Pea Curry, Dhal Vade, Kiri Hodi, Tropical Salad, Polos Ambula",Vegetable Kottu with Devilled Chicken,"Potato,  Chili, Turmeric Powder,  Pineapple,  Apple, Green pea,  Ginger, Mango,  leeks, Banana blossom, curry leaves,  Chillies, Lentils,  curry leaves, Pumpkin leaves, Onion, Coconut milk, Jackfruit, Chicken,  Oil,  Carrot,  Cucumber,  Coconut milk,  Spices,  Curry leaves, Red rice,  Chilli, Flour",1993.3000000000002,90.328,115.029,215.044,846.412,170.821,5375.7,37384.849,9099.335,5329.993,23.659000000000002,170.196
"Red Rice with Chicken Curry, Pol Sambol, Fish Curry, Soya Meat Curry","Red Rice with Prawn Curry, Kappa Masala, Indian Fish Curry","Red Rice with Bitter Gourd Curry, Tapioca Chips, potatoe cheese Balls, Cucumber Sambol"," Chili, Cucumber,  pepper, Garlic,  Coconut, Bitter gourd, curry leaves,  Chillies,  Potatoes, Prawn, Fish, Tapioca, Cassava,  Onion, Lime, cheese, Chicken,  Oil,  Coconut milk,  Spices, Red rice, Soya meat,  Salt",1993.6,82.576,157.27999999999997,167.372,839.316,808.544,4728.0,54827.515999999996,17848.032,6567.096,15.776,116.78399999999999
Pol Roti with Seeni Sambol,"Red Rice with Bathala Curry, Ash Plantain Curry, Beetroot curry, Ginger Chicken",Vegetable Fried Rice with Vegetable Balls," chillies,  chillii, Rice,  pepper, Sweet potato,  Ginger,  leeks, Coconut, onion, carrot, curry leaves,  Chillies, leeks,  Potatoes, Ash plantain, Beetroot, Onion, Chicken,  Jackfruit,  Sugar,  Coconut milk,  Spices, Red rice,  Flour",1994.5,63.376,118.77199999999999,222.45,1084.3,238.576,5476.1,33613.489,18717.692000000003,6684.915,48.727999999999994,157.362
"Red Rice with Cabbage Mallung, Carrot Curry, Egg Curry, Maalu Badun","Red Rice with Sweet Corn Curry, Mango Chutney, Kiri Hodi, Polos Ambula, Ginger Chicken","Red Rice with Jackfruit Curry, Gotu Kola Sambol, Cuttlefish Curry, Bitter Leaf Curry, Radish Sambol"," pepper, Bitter leaves, Radish, Cabbage,  sugar,  Ginger,  Coconut, Cuttlefish, Carrot, Mango,  Chillies, curry leaves, Gotu Kola, Fish, Egg, Sweet corn,  curry leaves,  Onion, Coconut milk,  Vinegar, Jackfruit, Chicken,  Oil,  Coconut milk,  Spices, Red rice",1994.8,72.428,146.764,199.52800000000002,866.324,272.228,5539.2,56392.183999999994,16741.052,6960.54,59.571999999999996,119.496
"Red Rice with Gotu Kola Sambol, Banana Blossom Curry, Collard Greens Curry, Radish Sambol","Red Rice with Devilled Fish, Spinach Curry, Green Banana Curry, Spicy Crab",Pol Roti with Thalapath Fish Curry," Chili,  pepper, Radish,  Coconut, Banana blossom, Coconut, Green banana,  Chillies, Collard greens, Gotu Kola, Fish, Thalapath fish, Crab, Spinach,  Onion, Onion,  Oil,  Coconut milk,  Spices,  Curry leaves, Red rice,  Flour",1995.1999999999998,72.092,151.284,189.228,1032.06,356.972,5798.0,55438.504,22826.816,7172.876,15.584,153.888
"Red Rice with Green Banana Curry, Vegetable Cutlets, Devilled Beef, Jackfruit Mallum","Chicken Fried Rice with Wambatu Moju, Vegetable Cutlets, Vegetable Balls",Pol Roti with Seeni Sambol," chillii, Rice,  pepper,  Coconut, Carrot,  leeks, Coconut, Green banana,  onion,  Chillies, curry leaves, leeks,  Chicken, Eggplant,  Potatoes, Spices, Beef, Onion,  Vinegar, Jackfruit,  Oil,  Jackfruit,  Sugar,  Coconut milk, Red rice, tomato sause,  carrot,  Flour",1997.3000000000002,73.61599999999999,119.22999999999999,211.19,690.164,222.768,4464.9,34660.837,16304.091999999999,5558.535,46.513999999999996,147.534
"Red Rice with Chicken Curry, Carrot Curry, Tropical Salad","Red Rice with Parippu, Carrot curry, Ginger Chicken","Red Rice with Beetroot Curry, Snake Gourd Curry, Devilled Beef, Indian Fish Curry"," chillies,  Pineapple,  Apple,  Ginger, Termeric powder, Carrot, Mango, Dhal, curry leaves, Snake gourd, Fish, Beef, Beetroot, Chicken,  Oil,  Cucumber,  Coconut milk,  Spices, Red rice",2000.8000000000002,86.016,148.872,183.268,843.7080000000001,254.86,5497.2,56952.924,16421.188000000002,6617.996,25.848,139.204
"Red Rice with Jackfruit Curry, Soya Meat Curry, Pumpkin Leaves Curry, Fish Cutlets, Maalu Badun","Red Rice with Devilled Fish, Potato Curry, Octopus Curry, Beef Curry",Pol Roti with Lunu Miris,"Potato,  Chili, Turmeric Powder, Octopus, Coconut, curry leaves,  Chillies,  Potatoes, Fish, Beef, Pumpkin leaves, Onion, Lime, Jackfruit,  Oil,  Coconut milk,  Spices,  Curry leaves, Red rice, Soya meat,  Salt,  Flour",2002.4,74.41399999999999,172.694,134.09199999999998,776.0719999999999,292.15700000000004,4460.400000000001,51278.197,14044.367,6174.487999999999,14.518999999999998,104.173
"Red Rice with Beetroot Curry, Fish Curry, Fenugreek Curry, Beetroot curry","Red Rice with Bathala Curry, Sesame Seed Sambol, Ulundu Wade, Vegetable Balls, Coconut Sambol","Red Rice with Brinjal Moju, Maalu Badun, Devilled Beef","Fenugreek,  chillies,  Chili,  pepper, Sweet potato, Carrot,  leeks, curry leaves,  Chillies, Eggplant,  Potatoes,  flour, Fish, Beef, Beetroot,  Onion,  Vinegar,  Oil,  Jackfruit,  Coconut milk,  Spices, Red rice, Sesame seed, Urad",2002.8000000000002,91.184,135.88,171.684,773.088,213.62,4172.400000000001,38241.943999999996,13984.964,6317.676,14.48,110.888
"Red Rice with Banana Blossom Curry, Cabbage Mallung, Okra Curry, Coconut Sambol",Chicken Fried Rice with Green Pea Curry,"Red Rice with Devilled Fish, Octopus Curry, Carrot curry"," Chili, Rice, Cabbage, Green pea, Octopus, Carrot, Banana blossom,  onion,  Chillies, curry leaves, leeks,  Chicken, Fish, Spices, Okra,  Onion, Onion,  Coconut milk,  Spices,  Curry leaves, Red rice,  carrot",2002.8000000000002,107.77,92.804,244.28199999999998,1296.728,364.642,6997.8,39008.832,19940.136,7977.625999999999,17.888,207.95999999999998
"Red Rice with Murunga Curry, Seer Fish Curry, Capsicum Curry, Kappa Masala","Red Rice with Eggplant Curry, Bitter Gourd Salad, Seer Fish Curry, Fish Cutlets",Egg Fried Rice with Wambatu Moju,"Rice, Drumstick,  Coconut,  onion, Bitter gourd,  Chillies, curry leaves, leeks, Eggplant,  Potatoes, Fish, Capsicum,  Egg, Cassava, carrort,  Onion, Seer fish,  Vinegar,  Coconut milk,  Spices, Red rice, tomato sause",2006.2,100.98400000000001,107.564,214.82999999999998,1227.38,558.062,6787.8,44393.47,29472.89,10552.522,18.82,159.32999999999998
Kurakkan Roti with Fish Curry,Vegetable Fried Rice with Fish Cutlets,"Red Rice with Fenugreek Curry, Seer Fish Curry, Capsicum Curry, Fish Curry","Fish, Fenugreek, Rice, Millet,  Coconut milk, carrot,  Spices, onion, curry leaves,  Chillies, leeks, Red rice, Capsicum,  Potatoes, Seer fish,  Flour",2006.8,121.03200000000001,97.006,218.448,1451.114,488.34800000000007,6907.0,41012.644,24746.402,10023.79,16.698,183.10799999999998
