commodity,market,unit,priceflag,pricetype,currency,lower_price,upper_price,price,scraped_content
Cocoyam,Colombo City,KG,actual,Retail,LKR,875.93,1168.89,1022.41,"the retail price range in sri lanka rupee for cocoyam is between lkr 875.93 and lkr 1,168.89 per kilogram or between lkr 397.25 and lkr 530.11 per pound(lb) in colombo and jaffna."
Cod Fish,Colombo City,KG,actual,Retail,LKR,2297.54,3854.42,3075.98,"the retail price range in sri lanka rupee for cod fish is between lkr 2,297.54 and lkr 3,854.42 per kilogram or between lkr 1,041.97 and lkr 1,748.04 per pound(lb) in colombo and jaffna."
Cod,Colombo City,KG,actual,Retail,LKR,2273.89,3305.08,2789.48,"the retail price range in sri lanka rupee for cod is between lkr 2,273.89 and lkr 3,305.08 per kilogram or between lkr 1,031.24 and lkr 1,498.90 per pound(lb) in colombo and jaffna."
Coffee Extracts,Colombo City,KG,actual,Retail,LKR,2205.23,5880.62,4042.93,"the retail price range in sri lanka rupee for coffee extracts is between lkr 2,205.23 and lkr 5,880.62 per kilogram or between lkr 1,000.10 and lkr 2,666.95 per pound(lb) in colombo and jaffna."
Coffee Husks & Skins,Colombo City,KG,actual,Retail,LKR,637.19,1852.31,1244.75,"the retail price range in sri lanka rupee for coffee husks & skins is between lkr 637.19 and lkr 1,852.31 per kilogram or between lkr 288.98 and lkr 840.05 per pound(lb) in colombo and jaffna."
Coffee,Colombo City,KG,actual,Retail,LKR,711.12,2425.65,1568.38,"the retail price range in sri lanka rupee for coffee is between lkr 711.12 and lkr 2,425.65 per kilogram or between lkr 322.50 and lkr 1,100.07 per pound(lb) in colombo and jaffna."
Conch Snails,Colombo City,KG,actual,Retail,LKR,2585.05,3801.54,3193.3,"the retail price range in sri lanka rupee for conch snails is between lkr 2,585.05 and lkr 3,801.54 per kilogram or between lkr 1,172.36 and lkr 1,724.05 per pound(lb) in colombo and jaffna."
Copra,Colombo City,KG,actual,Retail,LKR,691.2,1172.04,931.62,"the retail price range in sri lanka rupee for copra is between lkr 691.20 and lkr 1,172.04 per kilogram or between lkr 313.47 and lkr 531.54 per pound(lb) in colombo and jaffna."
Cord Fish,Colombo City,KG,actual,Retail,LKR,239.19,867.06,553.12,the retail price range in sri lanka rupee for cord fish is between lkr 239.19 and lkr 867.06 per kilogram or between lkr 108.48 and lkr 393.22 per pound(lb) in colombo and jaffna.
Coriander seeds,Colombo City,KG,actual,Retail,LKR,182.23,607.45,394.84,the retail price range in sri lanka rupee for coriander seeds is between lkr 182.23 and lkr 607.45 per kilogram or between lkr 82.65 and lkr 275.49 per pound(lb) in colombo and jaffna.
Cotton Seeds,Colombo City,KG,actual,Retail,LKR,646.19,1321.75,983.97,"the retail price range in sri lanka rupee for cotton seeds is between lkr 646.19 and lkr 1,321.75 per kilogram or between lkr 293.06 and lkr 599.43 per pound(lb) in colombo and jaffna."
Cotton,Colombo City,KG,actual,Retail,LKR,95.65,122.55,109.1,the retail price range in sri lanka rupee for cotton is between lkr 95.65 and lkr 122.55 per kilogram or between lkr 43.38 and lkr 55.58 per pound(lb) in colombo and jaffna.
cottonseed oil,Colombo City,KG,actual,Retail,LKR,1331.86,2367.75,1849.8,"the retail price range in sri lanka rupee for cottonseed oil is between lkr 1,331.86 and lkr 2,367.75 per kilogram or between lkr 604.02 and lkr 1,073.81 per pound(lb) in colombo and jaffna."
Couscous,Colombo City,KG,actual,Retail,LKR,1507.69,3015.38,2261.53,"the retail price range in sri lanka rupee for couscous is between lkr 1,507.69 and lkr 3,015.38 per kilogram or between lkr 683.76 and lkr 1,367.52 per pound(lb) in colombo and jaffna."
Cow Peas (Black Eyed Peas),Colombo City,KG,actual,Retail,LKR,756.38,1739.68,1248.03,"the retail price range in sri lanka rupee for cow peas (black eyed peas) is between lkr 756.38 and lkr 1,739.68 per kilogram or between lkr 343.03 and lkr 788.97 per pound(lb) in colombo and jaffna."
Crab,Colombo City,KG,actual,Retail,LKR,4877.37,7239.14,6058.26,"the retail price range in sri lanka rupee for crab is between lkr 4,877.37 and lkr 7,239.14 per kilogram or between lkr 2,211.96 and lkr 3,283.06 per pound(lb) in colombo and jaffna."
Crabs,Colombo City,KG,actual,Retail,LKR,3038.5,8817.42,5927.96,"the retail price range in sri lanka rupee for crabs is between lkr 3,038.50 and lkr 8,817.42 per kilogram or between lkr 1,378.00 and lkr 3,998.83 per pound(lb) in colombo and jaffna."
"Cranberries, bilberries and other fruits",Colombo City,KG,actual,Retail,LKR,1332.86,3725.95,2529.4,"the retail price range in sri lanka rupee for cranberries, bilberries and other fruits is between lkr 1,332.86 and lkr 3,725.95 per kilogram or between lkr 604.47 and lkr 1,689.77 per pound(lb) in colombo and jaffna."
Cranberries,Colombo City,KG,actual,Retail,LKR,3190.49,7533.09,5361.79,"the retail price range in sri lanka rupee for cranberries is between lkr 3,190.49 and lkr 7,533.09 per kilogram or between lkr 1,446.93 and lkr 3,416.37 per pound(lb) in colombo and jaffna."
Cranberry Juice,Colombo City,KG,actual,Retail,LKR,833.55,1348.83,1091.19,"the retail price range in sri lanka rupee for cranberry juice is between lkr 833.55 and lkr 1,348.83 per kilogram or between lkr 378.03 and lkr 611.71 per pound(lb) in colombo and jaffna."
Crustaceans,Colombo City,KG,actual,Retail,LKR,895.38,1940.0,1417.69,"the retail price range in sri lanka rupee for crustaceans is between lkr 895.38 and lkr 1,940.00 per kilogram or between lkr 406.07 and lkr 879.82 per pound(lb) in colombo and jaffna."
Cucumber,Colombo City,KG,actual,Retail,LKR,1198.4,1797.6,1498.0,"the retail price range in sri lanka rupee for cucumber is between lkr 1,198.40 and lkr 1,797.60 per kilogram or between lkr 543.49 and lkr 815.24 per pound(lb) in colombo and jaffna."
Cumin Seeds,Colombo City,KG,actual,Retail,LKR,246.96,407.63,327.3,the retail price range in sri lanka rupee for cumin seeds is between lkr 246.96 and lkr 407.63 per kilogram or between lkr 112.00 and lkr 184.87 per pound(lb) in colombo and jaffna.
Curry,Colombo City,KG,actual,Retail,LKR,883.11,4427.35,2655.23,"the retail price range in sri lanka rupee for curry is between lkr 883.11 and lkr 4,427.35 per kilogram or between lkr 400.50 and lkr 2,007.87 per pound(lb) in colombo and jaffna."
Cuttlefish & Squid,Colombo City,KG,actual,Retail,LKR,1695.58,2984.7,2340.14,"the retail price range in sri lanka rupee for cuttlefish & squid is between lkr 1,695.58 and lkr 2,984.70 per kilogram or between lkr 768.97 and lkr 1,353.61 per pound(lb) in colombo and jaffna."
Cuttlesfish,Colombo City,KG,actual,Retail,LKR,1335.51,2734.9,2035.2,"the retail price range in sri lanka rupee for cuttlesfish is between lkr 1,335.51 and lkr 2,734.90 per kilogram or between lkr 605.67 and lkr 1,240.32 per pound(lb) in colombo and jaffna."
Dates,Colombo City,KG,actual,Retail,LKR,238.65,357.97,298.31,the retail price range in sri lanka rupee for dates is between lkr 238.65 and lkr 357.97 per kilogram or between lkr 108.23 and lkr 162.34 per pound(lb) in colombo and jaffna.
Delicata squash,Colombo City,KG,actual,Retail,LKR,745.0,1490.0,1117.5,"the retail price range in sri lanka rupee for delicata squash is between lkr 745.00 and lkr 1,490.00 per kilogram or between lkr 337.87 and lkr 675.74 per pound(lb) in colombo and jaffna."
Dragon fruit,Colombo City,KG,actual,Retail,LKR,2344.12,3516.18,2930.15,"the retail price range in sri lanka rupee for dragon fruit is between lkr 2,344.12 and lkr 3,516.18 per kilogram or between lkr 1,063.09 and lkr 1,594.64 per pound(lb) in colombo and jaffna."
Duck Meat,Colombo City,KG,actual,Retail,LKR,2224.15,2520.71,2372.43,"the retail price range in sri lanka rupee for duck meat is between lkr 2,224.15 and lkr 2,520.71 per kilogram or between lkr 1,008.69 and lkr 1,143.18 per pound(lb) in colombo and jaffna."
Durian,Colombo City,KG,actual,Retail,LKR,2014.2,2611.0,2312.6,"the retail price range in sri lanka rupee for durian is between lkr 2,014.20 and lkr 2,611.00 per kilogram or between lkr 913.47 and lkr 1,184.13 per pound(lb) in colombo and jaffna."
Eels,Colombo City,KG,actual,Retail,LKR,2067.26,11809.97,6938.61,"the retail price range in sri lanka rupee for eels is between lkr 2,067.26 and lkr 11,809.97 per kilogram or between lkr 937.53 and lkr 5,356.00 per pound(lb) in colombo and jaffna."
Eggs,Colombo City,KG,actual,Retail,LKR,163.09,266.87,214.98,the retail price range in sri lanka rupee for eggs is between lkr 163.09 and lkr 266.87 per kilogram or between lkr 73.96 and lkr 121.03 per pound(lb) in colombo and jaffna.
Elderberries,Colombo City,KG,actual,Retail,LKR,4188.04,5254.08,4721.06,"the retail price range in sri lanka rupee for elderberries is between lkr 4,188.04 and lkr 5,254.08 per kilogram or between lkr 1,899.34 and lkr 2,382.80 per pound(lb) in colombo and jaffna."
Ephedra,Colombo City,KG,actual,Retail,LKR,148.18,740.92,444.55,the retail price range in sri lanka rupee for ephedra is between lkr 148.18 and lkr 740.92 per kilogram or between lkr 67.20 and lkr 336.02 per pound(lb) in colombo and jaffna.
Essential Oils,Colombo City,KG,actual,Retail,LKR,1349.45,2548.95,1949.2,"the retail price range in sri lanka rupee for essential oils is between lkr 1,349.45 and lkr 2,548.95 per kilogram or between lkr 611.99 and lkr 1,155.99 per pound(lb) in colombo and jaffna."
Ethyl Alcohol,Colombo City,KG,actual,Retail,LKR,255.18,759.46,507.32,the retail price range in sri lanka rupee for ethyl alcohol is between lkr 255.18 and lkr 759.46 per kilogram or between lkr 115.73 and lkr 344.43 per pound(lb) in colombo and jaffna.
Farro,Colombo City,KG,actual,Retail,LKR,374.77,524.68,449.72,the retail price range in sri lanka rupee for farro is between lkr 374.77 and lkr 524.68 per kilogram or between lkr 169.96 and lkr 237.95 per pound(lb) in colombo and jaffna.
Fava beans,Colombo City,KG,actual,Retail,LKR,2425.6,3032.0,2728.8,"the retail price range in sri lanka rupee for fava beans is between lkr 2,425.60 and lkr 3,032.00 per kilogram or between lkr 1,100.05 and lkr 1,375.06 per pound(lb) in colombo and jaffna."
Fescue Grass Seed,Colombo City,KG,actual,Retail,LKR,57.56,106.03,81.8,the retail price range in sri lanka rupee for fescue grass seed is between lkr 57.56 and lkr 106.03 per kilogram or between lkr 26.10 and lkr 48.09 per pound(lb) in colombo and jaffna.
Figs,Colombo City,KG,actual,Retail,LKR,1335.05,2492.09,1913.57,"the retail price range in sri lanka rupee for figs is between lkr 1,335.05 and lkr 2,492.09 per kilogram or between lkr 605.46 and lkr 1,130.20 per pound(lb) in colombo and jaffna."
Fish body parts,Colombo City,KG,actual,Retail,LKR,1354.71,3763.08,2558.89,"the retail price range in sri lanka rupee for fish body parts is between lkr 1,354.71 and lkr 3,763.08 per kilogram or between lkr 614.38 and lkr 1,706.61 per pound(lb) in colombo and jaffna."
Fish fillet,Colombo City,KG,actual,Retail,LKR,1520.78,7645.06,4582.92,"the retail price range in sri lanka rupee for fish fillet is between lkr 1,520.78 and lkr 7,645.06 per kilogram or between lkr 689.69 and lkr 3,467.15 per pound(lb) in colombo and jaffna."
Fish Fins,Colombo City,KG,actual,Retail,LKR,303.51,1517.54,910.52,"the retail price range in sri lanka rupee for fish fins is between lkr 303.51 and lkr 1,517.54 per kilogram or between lkr 137.65 and lkr 688.23 per pound(lb) in colombo and jaffna."
"Fish heads, tails and maws",Colombo City,KG,actual,Retail,LKR,1066.05,1827.51,1446.78,"the retail price range in sri lanka rupee for fish heads, tails and maws is between lkr 1,066.05 and lkr 1,827.51 per kilogram or between lkr 483.47 and lkr 828.80 per pound(lb) in colombo and jaffna."
Fish Liver Oil,Colombo City,KG,actual,Retail,LKR,9763.01,17741.51,13752.26,"the retail price range in sri lanka rupee for fish liver oil is between lkr 9,763.01 and lkr 17,741.51 per kilogram or between lkr 4,427.67 and lkr 8,046.04 per pound(lb) in colombo and jaffna."
"Fish Liver,  Roes & Milt",Colombo City,KG,actual,Retail,LKR,2190.49,4683.53,3437.01,"the retail price range in sri lanka rupee for fish liver,  roes & milt is between lkr 2,190.49 and lkr 4,683.53 per kilogram or between lkr 993.42 and lkr 2,124.05 per pound(lb) in colombo and jaffna."
Fish Liver  & Roes,Colombo City,KG,actual,Retail,LKR,134.18,1347.79,740.99,"the retail price range in sri lanka rupee for fish liver  & roes is between lkr 134.18 and lkr 1,347.79 per kilogram or between lkr 60.85 and lkr 611.24 per pound(lb) in colombo and jaffna."
Fish meat,Colombo City,KG,actual,Retail,LKR,1369.66,1978.4,1674.03,"the retail price range in sri lanka rupee for fish meat is between lkr 1,369.66 and lkr 1,978.40 per kilogram or between lkr 621.16 and lkr 897.23 per pound(lb) in colombo and jaffna."
Fish Oil,Colombo City,KG,actual,Retail,LKR,2363.82,5909.54,4136.68,"the retail price range in sri lanka rupee for fish oil is between lkr 2,363.82 and lkr 5,909.54 per kilogram or between lkr 1,072.03 and lkr 2,680.06 per pound(lb) in colombo and jaffna."
Fish Pellets,Colombo City,KG,actual,Retail,LKR,44.44,622.18,333.31,the retail price range in sri lanka rupee for fish pellets is between lkr 44.44 and lkr 622.18 per kilogram or between lkr 20.15 and lkr 282.17 per pound(lb) in colombo and jaffna.
Fish,Colombo City,KG,actual,Retail,LKR,179.13,358.26,268.69,the retail price range in sri lanka rupee for fish is between lkr 179.13 and lkr 358.26 per kilogram or between lkr 81.24 and lkr 162.48 per pound(lb) in colombo and jaffna.
Flat Fish,Colombo City,KG,actual,Retail,LKR,4155.68,4452.72,4304.2,"the retail price range in sri lanka rupee for flat fish is between lkr 4,155.68 and lkr 4,452.72 per kilogram or between lkr 1,884.66 and lkr 2,019.37 per pound(lb) in colombo and jaffna."
Flaxseed oil,Colombo City,KG,actual,Retail,LKR,7245.05,9056.31,8150.68,"the retail price range in sri lanka rupee for flaxseed oil is between lkr 7,245.05 and lkr 9,056.31 per kilogram or between lkr 3,285.74 and lkr 4,107.17 per pound(lb) in colombo and jaffna."
Fonio,Colombo City,KG,actual,Retail,LKR,3340.62,6076.34,4708.48,"the retail price range in sri lanka rupee for fonio is between lkr 3,340.62 and lkr 6,076.34 per kilogram or between lkr 1,515.02 and lkr 2,755.71 per pound(lb) in colombo and jaffna."
Freekeh,Colombo City,KG,actual,Retail,LKR,1692.45,2133.95,1913.2,"the retail price range in sri lanka rupee for freekeh is between lkr 1,692.45 and lkr 2,133.95 per kilogram or between lkr 767.55 and lkr 967.78 per pound(lb) in colombo and jaffna."
Fresh Cut Flowers,Colombo City,KG,actual,Retail,LKR,544.36,1868.46,1206.41,"the retail price range in sri lanka rupee for fresh cut flowers is between lkr 544.36 and lkr 1,868.46 per kilogram or between lkr 246.87 and lkr 847.38 per pound(lb) in colombo and jaffna."
Fresh Melons,Colombo City,KG,actual,Retail,LKR,268.55,723.01,495.78,the retail price range in sri lanka rupee for fresh melons is between lkr 268.55 and lkr 723.01 per kilogram or between lkr 121.79 and lkr 327.90 per pound(lb) in colombo and jaffna.
Fresh Vegetables,Colombo City,KG,actual,Retail,LKR,223.37,612.75,418.06,the retail price range in sri lanka rupee for fresh vegetables is between lkr 223.37 and lkr 612.75 per kilogram or between lkr 101.30 and lkr 277.89 per pound(lb) in colombo and jaffna.
Frog Legs,Colombo City,KG,actual,Retail,LKR,4780.31,7170.46,5975.39,"the retail price range in sri lanka rupee for frog legs is between lkr 4,780.31 and lkr 7,170.46 per kilogram or between lkr 2,167.94 and lkr 3,251.91 per pound(lb) in colombo and jaffna."
Fructose,Colombo City,KG,actual,Retail,LKR,151.52,272.74,212.13,the retail price range in sri lanka rupee for fructose is between lkr 151.52 and lkr 272.74 per kilogram or between lkr 68.72 and lkr 123.69 per pound(lb) in colombo and jaffna.
Garlic,Colombo City,KG,actual,Retail,LKR,140.37,353.84,247.1,the retail price range in sri lanka rupee for garlic is between lkr 140.37 and lkr 353.84 per kilogram or between lkr 63.66 and lkr 160.47 per pound(lb) in colombo and jaffna.
Geese Meat,Colombo City,KG,actual,Retail,LKR,1519.08,3038.15,2278.61,"the retail price range in sri lanka rupee for geese meat is between lkr 1,519.08 and lkr 3,038.15 per kilogram or between lkr 688.92 and lkr 1,377.85 per pound(lb) in colombo and jaffna."
Geranium Oil,Colombo City,KG,actual,Retail,LKR,2968.31,4897.71,3933.01,"the retail price range in sri lanka rupee for geranium oil is between lkr 2,968.31 and lkr 4,897.71 per kilogram or between lkr 1,346.17 and lkr 2,221.18 per pound(lb) in colombo and jaffna."
Gin,Colombo City,KG,actual,Retail,LKR,15629.6,32147.02,23888.31,"the retail price range in sri lanka rupee for gin is between lkr 15,629.60 and lkr 32,147.02 per kilogram or between lkr 7,088.26 and lkr 14,579.15 per pound(lb) in colombo and jaffna."
Ginger,Colombo City,KG,actual,Retail,LKR,2698.75,5579.45,4139.1,"the retail price range in sri lanka rupee for ginger is between lkr 2,698.75 and lkr 5,579.45 per kilogram or between lkr 1,223.92 and lkr 2,530.36 per pound(lb) in colombo and jaffna."
Ginseng roots,Colombo City,KG,actual,Retail,LKR,4448.77,13346.31,8897.54,"the retail price range in sri lanka rupee for ginseng roots is between lkr 4,448.77 and lkr 13,346.31 per kilogram or between lkr 2,017.58 and lkr 6,052.75 per pound(lb) in colombo and jaffna."
Glucose,Colombo City,KG,actual,Retail,LKR,101.53,134.38,117.95,the retail price range in sri lanka rupee for glucose is between lkr 101.53 and lkr 134.38 per kilogram or between lkr 46.05 and lkr 60.94 per pound(lb) in colombo and jaffna.
Glycerol,Colombo City,KG,actual,Retail,LKR,2374.89,4452.92,3413.9,"the retail price range in sri lanka rupee for glycerol is between lkr 2,374.89 and lkr 4,452.92 per kilogram or between lkr 1,077.05 and lkr 2,019.47 per pound(lb) in colombo and jaffna."
Goat Meat,Colombo City,KG,actual,Retail,LKR,1136.54,5712.0,3424.27,"the retail price range in sri lanka rupee for goat meat is between lkr 1,136.54 and lkr 5,712.00 per kilogram or between lkr 515.44 and lkr 2,590.48 per pound(lb) in colombo and jaffna."
Gooseberries,Colombo City,KG,actual,Retail,LKR,1053.12,1504.46,1278.79,"the retail price range in sri lanka rupee for gooseberries is between lkr 1,053.12 and lkr 1,504.46 per kilogram or between lkr 477.61 and lkr 682.30 per pound(lb) in colombo and jaffna."
Grape Spirit,Colombo City,KG,actual,Retail,LKR,151.51,1515.08,833.29,"the retail price range in sri lanka rupee for grape spirit is between lkr 151.51 and lkr 1,515.08 per kilogram or between lkr 68.71 and lkr 687.11 per pound(lb) in colombo and jaffna."
Grapefruit juice,Colombo City,KG,actual,Retail,LKR,42.24,72.41,57.33,the retail price range in sri lanka rupee for grapefruit juice is between lkr 42.24 and lkr 72.41 per kilogram or between lkr 19.16 and lkr 32.84 per pound(lb) in colombo and jaffna.
Grapefruit,Colombo City,KG,actual,Retail,LKR,151.38,832.62,492.0,the retail price range in sri lanka rupee for grapefruit is between lkr 151.38 and lkr 832.62 per kilogram or between lkr 68.66 and lkr 377.60 per pound(lb) in colombo and jaffna.
Grapes,Colombo City,KG,actual,Retail,LKR,827.15,1654.3,1240.72,"the retail price range in sri lanka rupee for grapes is between lkr 827.15 and lkr 1,654.30 per kilogram or between lkr 375.12 and lkr 750.25 per pound(lb) in colombo and jaffna."
Green peas,Colombo City,KG,actual,Retail,LKR,937.75,1025.66,981.71,"the retail price range in sri lanka rupee for green peas is between lkr 937.75 and lkr 1,025.66 per kilogram or between lkr 425.28 and lkr 465.15 per pound(lb) in colombo and jaffna."
Green Tea,Colombo City,KG,actual,Retail,LKR,1824.77,3860.09,2842.43,"the retail price range in sri lanka rupee for green tea is between lkr 1,824.77 and lkr 3,860.09 per kilogram or between lkr 827.56 and lkr 1,750.61 per pound(lb) in colombo and jaffna."
Groat,Colombo City,KG,actual,Retail,LKR,807.36,927.3,867.33,the retail price range in sri lanka rupee for groat is between lkr 807.36 and lkr 927.30 per kilogram or between lkr 366.15 and lkr 420.54 per pound(lb) in colombo and jaffna.
Groundnuts (Peanuts),Colombo City,KG,actual,Retail,LKR,600.55,1050.97,825.76,"the retail price range in sri lanka rupee for groundnuts (peanuts) is between lkr 600.55 and lkr 1,050.97 per kilogram or between lkr 272.36 and lkr 476.63 per pound(lb) in colombo and jaffna."
Guava,Colombo City,KG,actual,Retail,LKR,444.0,740.0,592.0,the retail price range in sri lanka rupee for guava is between lkr 444.00 and lkr 740.00 per kilogram or between lkr 201.36 and lkr 335.60 per pound(lb) in colombo and jaffna.
Guinea Fowls Meat,Colombo City,KG,actual,Retail,LKR,891.66,2084.53,1488.1,"the retail price range in sri lanka rupee for guinea fowls meat is between lkr 891.66 and lkr 2,084.53 per kilogram or between lkr 404.38 and lkr 945.36 per pound(lb) in colombo and jaffna."
Haddock Fish,Colombo City,KG,actual,Retail,LKR,1032.66,2212.0,1622.33,"the retail price range in sri lanka rupee for haddock fish is between lkr 1,032.66 and lkr 2,212.00 per kilogram or between lkr 468.33 and lkr 1,003.17 per pound(lb) in colombo and jaffna."
Haddock,Colombo City,KG,actual,Retail,LKR,1353.05,1954.4,1653.72,"the retail price range in sri lanka rupee for haddock is between lkr 1,353.05 and lkr 1,954.40 per kilogram or between lkr 613.63 and lkr 886.35 per pound(lb) in colombo and jaffna."
Hake Fish,Colombo City,KG,actual,Retail,LKR,1139.88,2549.74,1844.81,"the retail price range in sri lanka rupee for hake fish is between lkr 1,139.88 and lkr 2,549.74 per kilogram or between lkr 516.95 and lkr 1,156.34 per pound(lb) in colombo and jaffna."
Hake,Colombo City,KG,actual,Retail,LKR,1472.13,2425.03,1948.58,"the retail price range in sri lanka rupee for hake is between lkr 1,472.13 and lkr 2,425.03 per kilogram or between lkr 667.63 and lkr 1,099.79 per pound(lb) in colombo and jaffna."
Halibut Fish,Colombo City,KG,actual,Retail,LKR,1932.6,4046.39,2989.49,"the retail price range in sri lanka rupee for halibut fish is between lkr 1,932.60 and lkr 4,046.39 per kilogram or between lkr 876.46 and lkr 1,835.10 per pound(lb) in colombo and jaffna."
Ham,Colombo City,KG,actual,Retail,LKR,1027.82,2936.62,1982.22,"the retail price range in sri lanka rupee for ham is between lkr 1,027.82 and lkr 2,936.62 per kilogram or between lkr 466.13 and lkr 1,331.80 per pound(lb) in colombo and jaffna."
Hazelnut flour,Colombo City,KG,actual,Retail,LKR,3104.12,3399.75,3251.93,"the retail price range in sri lanka rupee for hazelnut flour is between lkr 3,104.12 and lkr 3,399.75 per kilogram or between lkr 1,407.77 and lkr 1,541.84 per pound(lb) in colombo and jaffna."
Hazelnut spread,Colombo City,KG,actual,Retail,LKR,2548.43,3148.06,2848.24,"the retail price range in sri lanka rupee for hazelnut spread is between lkr 2,548.43 and lkr 3,148.06 per kilogram or between lkr 1,155.75 and lkr 1,427.69 per pound(lb) in colombo and jaffna."
Hazelnut,Colombo City,KG,actual,Retail,LKR,1277.92,1908.01,1592.97,"the retail price range in sri lanka rupee for hazelnut is between lkr 1,277.92 and lkr 1,908.01 per kilogram or between lkr 579.56 and lkr 865.31 per pound(lb) in colombo and jaffna."
Heart of palm,Colombo City,KG,actual,Retail,LKR,451.57,3160.98,1806.28,"the retail price range in sri lanka rupee for heart of palm is between lkr 451.57 and lkr 3,160.98 per kilogram or between lkr 204.79 and lkr 1,433.55 per pound(lb) in colombo and jaffna."
Hemp seeds,Colombo City,KG,actual,Retail,LKR,5762.55,7130.96,6446.76,"the retail price range in sri lanka rupee for hemp seeds is between lkr 5,762.55 and lkr 7,130.96 per kilogram or between lkr 2,613.40 and lkr 3,234.00 per pound(lb) in colombo and jaffna."
Herring,Colombo City,KG,actual,Retail,LKR,1473.05,4425.05,2949.05,"the retail price range in sri lanka rupee for herring is between lkr 1,473.05 and lkr 4,425.05 per kilogram or between lkr 668.05 and lkr 2,006.82 per pound(lb) in colombo and jaffna."
Herrings,Colombo City,KG,actual,Retail,LKR,1479.19,3838.78,2658.99,"the retail price range in sri lanka rupee for herrings is between lkr 1,479.19 and lkr 3,838.78 per kilogram or between lkr 670.83 and lkr 1,740.94 per pound(lb) in colombo and jaffna."
Hijiki seaweed,Colombo City,KG,actual,Retail,LKR,2545.82,3144.83,2845.32,"the retail price range in sri lanka rupee for hijiki seaweed is between lkr 2,545.82 and lkr 3,144.83 per kilogram or between lkr 1,154.56 and lkr 1,426.23 per pound(lb) in colombo and jaffna."
Hop Cones,Colombo City,KG,actual,Retail,LKR,1292.12,2373.89,1833.0,"the retail price range in sri lanka rupee for hop cones is between lkr 1,292.12 and lkr 2,373.89 per kilogram or between lkr 585.99 and lkr 1,076.59 per pound(lb) in colombo and jaffna."
Hops Extracts,Colombo City,KG,actual,Retail,LKR,196.86,1476.47,836.66,"the retail price range in sri lanka rupee for hops extracts is between lkr 196.86 and lkr 1,476.47 per kilogram or between lkr 89.28 and lkr 669.60 per pound(lb) in colombo and jaffna."
Horned melon (Kiwano),Colombo City,KG,actual,Retail,LKR,1503.23,4509.69,3006.46,"the retail price range in sri lanka rupee for horned melon (kiwano) is between lkr 1,503.23 and lkr 4,509.69 per kilogram or between lkr 681.74 and lkr 2,045.21 per pound(lb) in colombo and jaffna."
Horse Meat,Colombo City,KG,actual,Retail,LKR,2947.69,4126.77,3537.23,"the retail price range in sri lanka rupee for horse meat is between lkr 2,947.69 and lkr 4,126.77 per kilogram or between lkr 1,336.82 and lkr 1,871.55 per pound(lb) in colombo and jaffna."
Hubbard squash,Colombo City,KG,actual,Retail,LKR,1668.62,3185.54,2427.08,"the retail price range in sri lanka rupee for hubbard squash is between lkr 1,668.62 and lkr 3,185.54 per kilogram or between lkr 756.74 and lkr 1,444.69 per pound(lb) in colombo and jaffna."
Jasmin Oil,Colombo City,KG,actual,Retail,LKR,2638.68,7396.06,5017.37,"the retail price range in sri lanka rupee for jasmin oil is between lkr 2,638.68 and lkr 7,396.06 per kilogram or between lkr 1,196.68 and lkr 3,354.22 per pound(lb) in colombo and jaffna."
Jelly Fungi Tremella,Colombo City,KG,actual,Retail,LKR,3044.0,6088.0,4566.0,"the retail price range in sri lanka rupee for jelly fungi tremella is between lkr 3,044.00 and lkr 6,088.00 per kilogram or between lkr 1,380.50 and lkr 2,761.00 per pound(lb) in colombo and jaffna."
Jellyfish,Colombo City,KG,actual,Retail,LKR,2705.02,5112.16,3908.59,"the retail price range in sri lanka rupee for jellyfish is between lkr 2,705.02 and lkr 5,112.16 per kilogram or between lkr 1,226.77 and lkr 2,318.44 per pound(lb) in colombo and jaffna."
Jicama,Colombo City,KG,actual,Retail,LKR,228.28,380.46,304.37,the retail price range in sri lanka rupee for jicama is between lkr 228.28 and lkr 380.46 per kilogram or between lkr 103.53 and lkr 172.54 per pound(lb) in colombo and jaffna.
Jojoba oil,Colombo City,KG,actual,Retail,LKR,6088.0,9740.8,7914.4,"the retail price range in sri lanka rupee for jojoba oil is between lkr 6,088.00 and lkr 9,740.80 per kilogram or between lkr 2,761.00 and lkr 4,417.60 per pound(lb) in colombo and jaffna."
Juniper Berries,Colombo City,KG,actual,Retail,LKR,4542.0,7570.0,6056.0,"the retail price range in sri lanka rupee for juniper berries is between lkr 4,542.00 and lkr 7,570.00 per kilogram or between lkr 2,059.86 and lkr 3,433.11 per pound(lb) in colombo and jaffna."
Kabocha squash,Colombo City,KG,actual,Retail,LKR,878.66,1121.04,999.85,"the retail price range in sri lanka rupee for kabocha squash is between lkr 878.66 and lkr 1,121.04 per kilogram or between lkr 398.48 and lkr 508.41 per pound(lb) in colombo and jaffna."
Kale,Colombo City,KG,actual,Retail,LKR,982.1,1662.02,1322.06,"the retail price range in sri lanka rupee for kale is between lkr 982.10 and lkr 1,662.02 per kilogram or between lkr 445.40 and lkr 753.75 per pound(lb) in colombo and jaffna."
Kapok Fibre (Stuffing),Colombo City,KG,actual,Retail,LKR,5285.19,7635.46,6460.32,"the retail price range in sri lanka rupee for kapok fibre (stuffing) is between lkr 5,285.19 and lkr 7,635.46 per kilogram or between lkr 2,396.91 and lkr 3,462.79 per pound(lb) in colombo and jaffna."
